ph,turbidity,dissolved_oxygen,temperature,rainfall,humidity,population_density,sanitation_index,bacterial_count,ecoli_count,chlorine_level,water_source,region_type,season,previous_cases,disease_risk,waterborne_disease
6.97,0.08,7.73,22.03,2.98,51.37,141.0,88.17,173.0,0.0,1.217,Tap,Urban,Winter,2,Low,No Disease - Water is Safe
6.27,0.48,8.77,20.48,23.15,75.36,184.0,80.27,30.0,10.0,1.274,Groundwater,Urban,Winter,3,Low,Safe for Consumption
8.78,200.0,4.22,34.97,180.52,72.6,1122.0,28.7,1481.0,199.0,0.094,Pond,Hilly,Monsoon,51,High,Hepatitis E
9.44,120.88,4.3,34.72,522.18,81.06,3464.0,27.83,669.0,154.0,0.0,Pond,Hilly,Monsoon,60,High,Dysentery
7.04,0.07,8.87,22.68,20.11,55.61,76.0,86.92,123.0,8.0,1.545,Groundwater,Semi-Urban,Spring,2,Low,No Disease - Water is Safe
6.54,0.48,7.19,23.2,122.45,60.23,447.0,89.26,72.0,10.0,1.735,Tap,Semi-Urban,Winter,6,Low,Safe for Consumption
7.6,20.44,5.54,18.33,216.45,80.19,1525.0,52.57,451.0,42.0,0.967,River,Coastal,Spring,20,Medium,Hepatitis A
7.07,13.54,5.03,24.85,143.9,62.57,2431.0,59.54,439.0,70.0,0.458,Well,Coastal,Summer,13,Medium,Diarrhea
7.33,1.05,7.81,25.31,8.38,57.42,902.0,84.72,6.0,3.0,1.321,Groundwater,Urban,Winter,5,Low,Safe for Consumption
9.29,43.52,3.01,34.72,534.44,98.89,5681.0,29.5,1685.0,220.0,0.137,Pond,Hilly,Summer,51,High,E. coli Infection
7.66,9.14,7.0,30.07,192.58,86.17,447.0,60.97,417.0,35.0,0.792,River,Semi-Urban,Summer,18,Medium,Diarrhea
7.07,0.14,8.38,20.76,12.84,73.88,571.0,83.89,36.0,14.0,1.036,Tap,Urban,Winter,4,Low,No Disease - Water is Safe
7.32,2.83,7.7,18.82,145.45,41.53,568.0,85.72,76.0,0.0,1.767,Tap,Urban,Spring,6,Low,Safe for Consumption
5.95,31.26,3.84,36.62,295.97,93.98,6569.0,37.84,2161.0,144.0,0.307,River,Rural,Monsoon,50,High,Dysentery
9.63,78.38,4.2,32.5,330.38,70.92,5795.0,28.72,1789.0,181.0,0.237,Pond,Rural,Monsoon,42,High,E. coli Infection
6.9,17.63,6.93,21.92,132.24,63.75,50.0,59.08,236.0,32.0,1.083,River,Semi-Urban,Spring,10,Medium,Hepatitis A
7.18,1.93,7.52,21.04,102.59,60.42,331.0,79.37,37.0,3.0,1.952,Tap,Semi-Urban,Spring,4,Low,Safe for Consumption
7.56,1.56,8.25,24.96,96.35,47.66,327.0,76.41,60.0,0.0,1.551,Groundwater,Urban,Spring,0,Low,Safe for Consumption
9.94,86.92,2.9,31.48,351.0,87.41,4572.0,39.43,1571.0,164.0,0.292,River,Rural,Monsoon,51,High,E. coli Infection
6.81,8.43,6.37,25.08,111.74,77.94,515.0,43.56,267.0,41.0,0.673,Well,Semi-Urban,Spring,21,Medium,Typhoid
8.31,8.9,5.47,20.95,192.18,63.82,1235.0,52.17,437.0,31.0,0.215,Lake,Semi-Urban,Summer,16,Medium,Hepatitis A
8.8,58.29,2.22,33.4,1000.0,85.62,1774.0,24.88,2186.0,162.0,0.082,Pond,Hilly,Monsoon,45,High,Cholera
6.84,5.17,5.65,26.43,154.5,76.03,2500.0,42.48,275.0,63.0,0.7,Well,Rural,Summer,27,Medium,Diarrhea
7.04,7.8,9.09,25.97,25.86,59.87,58.0,78.96,24.0,1.0,1.883,Groundwater,Semi-Urban,Winter,1,Low,No Disease - Water is Safe
5.43,98.19,2.64,31.74,441.71,98.08,2783.0,25.3,1576.0,75.0,0.147,Pond,Rural,Monsoon,47,High,Cholera
6.92,4.92,7.25,21.63,17.87,76.04,856.0,80.75,4.0,3.0,1.798,Tap,Urban,Spring,5,Low,No Disease - Water is Safe
6.99,0.78,9.91,22.02,134.04,37.75,814.0,86.58,68.0,2.0,1.607,Tap,Urban,Winter,5,Low,Safe for Consumption
7.42,15.32,3.6,24.81,131.54,49.57,145.0,42.52,466.0,35.0,0.603,River,Semi-Urban,Summer,13,Medium,Hepatitis A
7.59,1.77,10.17,23.48,15.22,54.6,50.0,92.43,18.0,2.0,1.458,Tap,Semi-Urban,Spring,3,Low,No Disease - Water is Safe
7.09,3.38,8.66,18.9,112.52,54.58,682.0,81.0,32.0,10.0,1.119,Groundwater,Semi-Urban,Winter,2,Low,No Disease - Water is Safe
7.42,1.44,7.9,25.9,62.38,42.57,890.0,81.59,74.0,10.0,1.827,Groundwater,Urban,Spring,1,Low,Safe for Consumption
6.17,26.92,3.42,36.19,296.25,82.86,1152.0,6.88,1434.0,95.0,0.174,Pond,Hilly,Monsoon,47,High,Hepatitis E
7.21,5.8,6.39,23.13,157.09,70.53,1928.0,52.17,357.0,63.0,0.447,Lake,Rural,Spring,15,Medium,Typhoid
7.74,8.66,8.82,24.67,100.82,59.96,1094.0,68.48,40.0,18.0,1.385,Groundwater,Semi-Urban,Spring,2,Low,No Disease - Water is Safe
7.09,0.33,9.19,19.69,178.51,45.66,118.0,67.1,215.0,32.0,1.521,Lake,Semi-Urban,Winter,3,Low,No Disease - Water is Safe
6.98,1.64,7.7,24.15,108.58,53.14,827.0,71.11,74.0,1.0,1.68,Tap,Urban,Spring,4,Low,No Disease - Water is Safe
6.61,11.13,6.4,27.17,153.08,53.37,3021.0,36.14,399.0,11.0,0.846,Lake,Coastal,Spring,15,Medium,Hepatitis A
6.11,29.86,3.64,39.69,552.43,80.99,2594.0,34.87,1374.0,162.0,0.157,Pond,Coastal,Monsoon,46,High,Dysentery
7.6,6.39,8.58,24.1,13.23,46.6,1119.0,61.36,116.0,1.0,1.541,Tap,Urban,Winter,4,Low,Safe for Consumption
6.71,8.16,6.83,30.26,197.29,65.19,8501.0,51.02,561.0,71.0,0.643,River,Semi-Urban,Summer,27,Medium,Diarrhea
7.1,1.56,8.73,15.23,229.94,59.57,864.0,75.87,39.0,1.0,1.698,Tap,Urban,Winter,2,Low,Safe for Consumption
5.76,16.66,5.28,28.91,156.99,63.31,50.0,71.29,444.0,64.0,0.658,Well,Semi-Urban,Spring,18,Medium,Typhoid
9.28,45.95,3.48,36.03,607.6,85.76,20000.0,21.98,857.0,125.0,0.288,Pond,Rural,Summer,50,High,E. coli Infection
5.93,4.65,5.83,24.26,190.9,74.37,1555.0,52.29,474.0,49.0,1.104,Lake,Rural,Spring,15,Medium,Giardiasis
7.27,8.45,6.04,20.29,151.52,65.88,1696.0,55.54,328.0,34.0,0.787,River,Coastal,Summer,8,Medium,Typhoid
5.38,40.21,3.84,31.19,464.91,62.89,2120.0,0.0,1973.0,264.0,0.077,River,Hilly,Summer,61,High,E. coli Infection
7.79,9.66,8.57,20.09,20.93,49.93,108.0,87.85,52.0,4.0,1.238,Groundwater,Urban,Spring,2,Low,Safe for Consumption
7.49,2.28,9.09,20.5,63.63,52.47,1061.0,83.17,71.0,2.0,1.849,Lake,Urban,Spring,3,Low,Safe for Consumption
8.65,42.37,3.87,38.17,445.2,68.38,1915.0,24.92,1721.0,104.0,0.127,Pond,Rural,Monsoon,33,High,Hepatitis E
8.78,136.41,3.65,31.09,330.56,81.51,1155.0,52.56,1647.0,214.0,0.191,Pond,Rural,Monsoon,49,High,Dysentery
6.02,29.72,4.57,36.55,382.24,82.75,7415.0,26.3,2145.0,60.0,0.137,River,Rural,Monsoon,49,High,Hepatitis E
7.3,15.74,5.19,26.66,178.52,78.75,240.0,55.93,326.0,62.0,0.667,River,Rural,Spring,18,Medium,Typhoid
7.6,7.63,6.13,31.92,107.44,72.61,4590.0,49.61,493.0,49.0,1.085,Well,Coastal,Spring,12,Medium,Hepatitis A
9.57,94.32,3.62,37.23,683.0,81.43,1765.0,30.47,1738.0,192.0,0.08,River,Coastal,Monsoon,37,High,E. coli Infection
5.62,51.99,2.91,40.64,292.51,84.44,3615.0,26.51,1764.0,186.0,0.203,Well,Rural,Monsoon,45,High,Dysentery
6.58,17.46,6.3,32.35,193.01,79.69,2544.0,34.2,381.0,63.0,0.857,River,Semi-Urban,Summer,22,Medium,Diarrhea
7.64,8.8,6.22,34.54,149.27,84.13,728.0,50.05,364.0,73.0,0.909,Lake,Coastal,Summer,9,Medium,Giardiasis
9.14,27.1,4.0,31.1,524.87,70.32,6651.0,27.77,1604.0,138.0,0.095,Pond,Rural,Summer,47,High,Hepatitis E
6.16,79.94,3.22,32.32,968.58,74.01,8761.0,29.46,1904.0,196.0,0.106,River,Hilly,Monsoon,50,High,Cholera
5.51,32.97,2.67,34.72,520.9,65.72,2120.0,32.75,2180.0,160.0,0.022,River,Hilly,Monsoon,36,High,Cryptosporidiosis
5.95,75.77,4.22,31.38,574.74,83.28,6797.0,19.23,1496.0,94.0,0.334,Pond,Rural,Summer,57,High,Cryptosporidiosis
5.61,28.52,3.96,33.01,1000.0,69.87,4289.0,6.98,2072.0,137.0,0.066,River,Rural,Monsoon,55,High,Hepatitis E
5.67,6.59,7.42,25.47,165.83,67.48,1711.0,43.98,434.0,56.0,0.479,Well,Rural,Summer,16,Medium,Diarrhea
7.41,9.25,8.1,22.63,27.78,50.03,364.0,85.19,80.0,38.0,1.526,Lake,Semi-Urban,Winter,5,Low,Safe for Consumption
6.09,10.45,5.92,23.74,128.26,64.68,813.0,56.58,514.0,77.0,0.653,River,Coastal,Summer,14,Medium,Hepatitis A
9.46,69.01,4.39,32.19,1000.0,72.77,20000.0,26.25,1161.0,94.0,0.0,Pond,Coastal,Monsoon,55,High,Cryptosporidiosis
7.08,2.74,7.25,20.55,11.59,47.38,1191.0,76.36,235.0,11.0,2.142,Tap,Urban,Winter,4,Low,No Disease - Water is Safe
8.91,71.06,1.76,29.22,753.33,82.65,4097.0,37.98,1512.0,146.0,0.0,Well,Rural,Monsoon,41,High,Cholera
6.56,9.4,5.68,29.88,162.31,73.66,667.0,58.57,408.0,49.0,0.678,Well,Coastal,Summer,15,Medium,Giardiasis
6.41,15.9,5.42,27.16,131.24,89.39,1154.0,46.43,245.0,37.0,0.73,Lake,Semi-Urban,Spring,18,Medium,Diarrhea
7.9,8.93,6.82,26.15,97.32,59.27,741.0,58.86,332.0,50.0,0.886,River,Rural,Summer,18,Medium,Hepatitis A
6.89,0.47,8.8,16.23,74.42,64.36,474.0,84.09,40.0,4.0,1.478,Tap,Semi-Urban,Winter,5,Low,No Disease - Water is Safe
5.48,9.51,6.52,26.29,142.54,65.32,50.0,66.18,354.0,37.0,0.415,Lake,Semi-Urban,Spring,27,Medium,Typhoid
5.27,22.03,3.93,33.98,574.09,84.09,5311.0,21.3,1206.0,175.0,0.161,Pond,Coastal,Monsoon,46,High,Dysentery
5.38,78.91,2.67,32.12,394.38,71.17,4986.0,45.42,2323.0,158.0,0.057,River,Coastal,Summer,36,High,Cholera
7.24,10.77,5.41,26.29,156.04,62.89,1883.0,37.12,367.0,39.0,0.585,Lake,Semi-Urban,Summer,18,Medium,Hepatitis A
7.44,1.81,9.36,21.49,26.31,56.35,2027.0,88.3,53.0,7.0,1.291,Tap,Semi-Urban,Spring,3,Low,No Disease - Water is Safe
7.47,14.79,5.49,29.42,169.78,75.43,701.0,67.61,185.0,38.0,0.8,River,Semi-Urban,Summer,18,Medium,Giardiasis
7.19,0.24,9.28,19.81,25.98,55.76,1450.0,77.72,152.0,1.0,1.403,Groundwater,Urban,Spring,0,Low,Safe for Consumption
7.49,11.92,6.53,32.09,170.08,58.51,496.0,46.86,409.0,52.0,0.721,Well,Rural,Summer,29,Medium,Hepatitis A
8.66,20.42,5.22,34.25,184.76,74.36,1298.0,34.42,1731.0,120.0,0.26,River,Hilly,Monsoon,52,High,Dysentery
7.28,7.48,7.77,18.39,11.63,59.5,50.0,88.48,133.0,7.0,0.959,Tap,Urban,Winter,5,Low,No Disease - Water is Safe
7.0,15.53,6.17,37.2,86.71,50.68,1485.0,77.26,277.0,47.0,0.886,Lake,Coastal,Summer,19,Medium,Typhoid
5.6,62.92,2.66,35.47,362.79,85.49,3276.0,24.82,1388.0,70.0,0.238,Pond,Coastal,Monsoon,40,High,Cholera
6.79,6.51,5.85,31.74,60.5,50.13,164.0,47.64,358.0,52.0,0.831,Well,Rural,Spring,23,Medium,Typhoid
6.99,3.38,8.16,23.9,3.21,54.77,392.0,80.27,3.0,0.0,0.999,Groundwater,Urban,Spring,2,Low,No Disease - Water is Safe
9.17,113.17,3.55,28.02,529.64,86.43,2410.0,36.75,1324.0,106.0,0.154,Pond,Rural,Monsoon,47,High,Cholera
7.08,4.34,7.15,23.95,110.29,49.17,134.0,80.06,64.0,8.0,1.57,Tap,Semi-Urban,Winter,5,Low,No Disease - Water is Safe
6.87,0.03,8.42,20.38,47.02,54.28,563.0,87.82,51.0,0.0,1.395,Groundwater,Semi-Urban,Winter,4,Low,Safe for Consumption
5.21,62.7,3.2,34.5,182.28,80.49,6196.0,57.91,1214.0,124.0,0.239,River,Rural,Summer,67,High,Cryptosporidiosis
6.98,2.51,7.35,22.77,15.88,64.63,972.0,73.18,35.0,7.0,1.535,Groundwater,Urban,Winter,3,Low,No Disease - Water is Safe
7.31,2.03,7.84,22.45,0.66,77.93,175.0,84.52,41.0,1.0,1.568,Tap,Urban,Spring,3,Low,No Disease - Water is Safe
6.84,13.24,4.6,27.97,210.63,63.62,586.0,52.99,422.0,50.0,0.395,Well,Semi-Urban,Summer,14,Medium,Diarrhea
5.93,22.9,5.1,37.56,570.91,83.43,2580.0,21.06,2571.0,150.0,0.154,Pond,Rural,Summer,39,High,Cholera
7.62,3.49,9.94,23.41,33.22,58.91,718.0,71.36,29.0,3.0,1.463,Tap,Urban,Winter,1,Low,No Disease - Water is Safe
9.51,35.39,2.6,38.35,262.29,79.81,3766.0,24.12,1274.0,109.0,0.067,Well,Rural,Summer,51,High,Cholera
6.8,0.97,9.29,17.48,46.2,48.27,50.0,76.14,238.0,1.0,1.324,Tap,Urban,Winter,3,Low,No Disease - Water is Safe
7.06,0.86,7.81,23.13,79.65,63.1,173.0,88.89,143.0,19.0,2.08,Groundwater,Urban,Spring,0,Low,Safe for Consumption
7.99,7.69,3.79,25.85,225.51,63.15,2278.0,52.21,337.0,48.0,1.009,Lake,Semi-Urban,Spring,20,Medium,Diarrhea
7.55,5.1,7.71,23.38,94.68,64.76,55.0,65.6,54.0,1.0,1.444,Tap,Urban,Winter,1,Low,No Disease - Water is Safe
7.21,0.84,8.36,23.17,51.66,47.21,318.0,79.42,9.0,41.0,1.238,Tap,Semi-Urban,Spring,1,Low,No Disease - Water is Safe
5.12,53.42,3.4,37.54,871.17,73.24,4062.0,34.06,1554.0,187.0,0.073,Pond,Coastal,Summer,41,High,Cryptosporidiosis
7.69,3.51,7.11,16.81,60.0,75.17,565.0,100.0,42.0,6.0,1.581,Groundwater,Urban,Winter,2,Low,No Disease - Water is Safe
6.55,2.27,8.82,20.55,34.1,68.9,265.0,77.8,59.0,33.0,1.491,Tap,Semi-Urban,Spring,2,Low,No Disease - Water is Safe
7.75,0.18,8.17,17.44,0.86,46.49,131.0,69.89,74.0,5.0,1.37,Tap,Urban,Winter,0,Low,No Disease - Water is Safe
5.8,49.59,3.1,32.81,544.13,83.97,3571.0,10.04,1256.0,116.0,0.14,Pond,Coastal,Monsoon,68,High,Cryptosporidiosis
7.13,0.02,8.87,19.51,77.8,55.04,280.0,74.81,25.0,6.0,1.953,Groundwater,Semi-Urban,Winter,4,Low,Safe for Consumption
5.31,30.27,4.6,33.7,152.35,78.59,10302.0,41.33,2170.0,77.0,0.165,Pond,Rural,Summer,45,High,Cholera
5.63,42.72,1.45,33.74,463.96,92.12,1159.0,36.93,1356.0,18.0,0.15,River,Coastal,Monsoon,41,High,E. coli Infection
7.39,0.01,8.84,25.86,21.04,64.55,385.0,83.84,21.0,14.0,1.639,Groundwater,Semi-Urban,Spring,4,Low,Safe for Consumption
7.25,1.25,8.98,20.54,41.7,39.57,50.0,87.08,89.0,8.0,1.142,Tap,Urban,Winter,4,Low,No Disease - Water is Safe
9.22,29.24,3.12,30.39,222.42,84.94,2054.0,42.42,1622.0,107.0,0.047,Pond,Rural,Monsoon,68,High,Dysentery
7.56,0.22,8.12,15.95,43.63,37.46,262.0,82.01,6.0,17.0,1.512,Groundwater,Urban,Spring,4,Low,No Disease - Water is Safe
6.96,3.09,9.09,23.36,9.42,53.27,1611.0,75.71,39.0,1.0,1.642,Tap,Semi-Urban,Winter,2,Low,Safe for Consumption
7.05,10.93,5.77,29.3,102.16,96.5,304.0,39.37,314.0,52.0,0.839,River,Rural,Summer,7,Medium,Diarrhea
7.36,15.43,6.35,25.1,185.34,47.08,1460.0,51.93,291.0,43.0,0.628,River,Rural,Spring,24,Medium,Hepatitis A
7.11,0.13,8.25,22.93,3.09,40.45,200.0,70.26,18.0,14.0,1.65,Lake,Urban,Spring,3,Low,Safe for Consumption
6.87,14.57,6.31,26.75,208.29,56.82,726.0,39.85,511.0,29.0,0.421,Well,Semi-Urban,Summer,22,Medium,Giardiasis
6.85,4.68,7.71,17.21,50.63,42.53,411.0,93.59,43.0,2.0,1.32,Tap,Urban,Winter,3,Low,No Disease - Water is Safe
8.22,3.69,8.6,28.31,20.24,67.89,81.0,71.18,39.0,3.0,1.299,Lake,Urban,Spring,3,Low,No Disease - Water is Safe
9.03,58.11,2.22,28.32,291.78,73.95,3310.0,20.39,2073.0,86.0,0.101,Pond,Rural,Summer,54,High,Dysentery
5.26,26.07,3.18,35.73,877.84,82.49,2025.0,26.83,1352.0,193.0,0.016,Pond,Hilly,Monsoon,60,High,Cryptosporidiosis
7.17,4.24,8.65,20.52,4.78,51.1,2343.0,84.43,1.0,5.0,2.319,Tap,Semi-Urban,Winter,2,Low,Safe for Consumption
5.47,56.3,5.11,36.04,364.88,86.1,2948.0,30.06,1595.0,204.0,0.35,Pond,Coastal,Summer,55,High,Hepatitis E
7.35,0.02,10.14,20.8,13.14,59.61,626.0,100.0,55.0,4.0,1.266,Tap,Semi-Urban,Spring,3,Low,Safe for Consumption
7.41,2.63,9.11,24.07,69.61,45.57,856.0,79.5,295.0,17.0,1.225,Tap,Semi-Urban,Spring,4,Low,Safe for Consumption
7.37,6.75,5.82,21.82,144.81,63.35,1467.0,51.66,438.0,46.0,0.423,River,Coastal,Spring,21,Medium,Typhoid
9.43,66.08,4.53,35.53,351.59,79.82,5757.0,37.39,1311.0,171.0,0.156,River,Hilly,Monsoon,70,High,E. coli Infection
6.42,15.45,5.96,28.95,144.75,59.13,219.0,50.27,284.0,53.0,0.935,Lake,Rural,Summer,16,Medium,Diarrhea
8.58,58.77,3.84,34.41,455.38,72.47,3240.0,35.4,1097.0,68.0,0.127,Pond,Hilly,Summer,53,High,Cryptosporidiosis
9.75,24.42,2.74,35.39,333.49,65.13,3495.0,23.92,2073.0,158.0,0.229,Pond,Coastal,Monsoon,59,High,Hepatitis E
6.99,2.0,9.43,19.37,19.13,69.53,164.0,77.4,32.0,19.0,1.926,Tap,Urban,Spring,1,Low,No Disease - Water is Safe
